Time,Time Code,Country Name,Country Code,"GDP per capita, PPP (constant 2011 international $) [NY.GDP.PCAP.PP.KD]",GINI index (World Bank estimate) [SI.POV.GINI],High-technology exports (% of manufactured exports) [TX.VAL.TECH.MF.ZS],"Population ages 15-64, total [SP.POP.1564.TO]",Labor force with advanced education (% of total working-age population with advanced education) [SL.TLF.ADVN.ZS]
2016,YR2016,Uganda,UGA,1687.08273624095,42.8,1.83254356704407,20678765,..
2016,YR2016,Ukraine,UKR,7668.0557761534,25,..,30875921,67.4400024414063
2016,YR2016,United Arab Emirates,ARE,67705.9493287962,..,2.32146635303879,7881775,..
2016,YR2016,United Kingdom,GBR,39309.3270821404,..,21.8337221434488,42001358,80.3992004394531
2016,YR2016,United States,USA,53399.3591673623,41.5,19.9587212229637,213254816,69.4046020507813
2016,YR2016,Upper middle income,UMC,15669.1344013226,..,19.9488944034707,1790477866,..
2016,YR2016,Uruguay,URY,20093.6322583515,39.7,9.70701474724337,2211820,80.6361999511719
2016,YR2016,Uzbekistan,UZB,6038.92829875491,..,..,21558308,..
2016,YR2016,Vanuatu,VUT,2856.47531029292,..,..,161124,..
2016,YR2016,"Venezuela, RB",VEN,..,..,..,20731567,..
2016,YR2016,Vietnam,VNM,5837.62870356959,35.3,..,66197535,87.3864974975586
2016,YR2016,Virgin Islands (U.S.),VIR,..,..,..,66355,..
2016,YR2016,West Bank and Gaza,PSE,4738.01542623788,33.7,0.593923311335099,2601714,72.7761993408203
2016,YR2016,World,WLD,15080.3792825185,..,17.8837967525776,4870697006,..
2016,YR2016,"Yemen, Rep.",YEM,1479.14700530618,..,..,15681743,..
2016,YR2016,Zambia,ZMB,3652.15192618377,..,..,8696624,..
2016,YR2016,Zimbabwe,ZWE,1879.6281185511,..,5.20645305938165,9012715,..
,,,,,,,,
,,,,,,,,
,,,,,,,,
Data from database: Jobs,,,,,,,,
Last Updated: 06/29/2022,,,,,,,,
